Name,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist,rating21
Aaron Ramsdale,3420.0,205.0,63.0,145.0,2642.2,5.0,61.7,4.0,3.0,0.0,1.0,290.0,859.0,1296.4,860.0,124.0,2687.5,2016.7,281.0,3450.0,2624.4,336.0,32.0,337.6,22.0,565.2,75.0
Aarón Escandell,450.0,24.0,8.0,16.0,365.6,1.0,9.6,0.0,0.0,0.0,0.0,38.0,113.0,165.1,118.0,13.0,365.6,261.8,33.0,405.6,319.9,45.0,3.0,29.1,12.0,80.6,67.0
Adrián,270.0,19.0,9.0,10.0,196.4,1.0,8.0,0.0,0.0,0.0,0.0,12.0,32.0,122.3,77.0,20.0,106.3,109.4,22.0,116.9,101.3,29.0,2.0,16.7,1.0,39.5,60.0
Aitor Fernández,2610.0,118.0,44.0,78.0,1727.4,3.0,38.7,3.0,3.0,0.0,0.0,124.0,330.0,1138.3,716.0,150.0,1103.1,1042.3,205.0,836.0,890.6,255.0,18.0,207.2,27.0,423.9,75.0
Alban Lafont,3420.0,158.0,55.0,113.0,2475.1,5.0,52.5,13.0,10.0,2.0,1.0,218.0,675.0,1277.0,869.0,128.0,2103.0,1721.4,258.0,3092.8,2178.6,327.0,24.0,292.8,25.0,595.2,78.0
Alberto Cifuentes,180.0,6.0,3.0,3.0,50.0,1.0,1.8,0.0,0.0,0.0,0.0,25.0,63.0,82.8,53.0,3.0,184.4,118.7,16.0,175.0,122.1,17.0,1.0,9.1,2.0,28.1,73.0
Alberto Paleari,206.0,12.0,3.0,8.0,213.3,1.0,3.8,0.0,0.0,0.0,0.0,9.0,36.0,68.2,59.0,12.0,169.2,129.2,19.0,155.6,132.89999999999998,24.0,0.0,0.0,0.0,30.6,69.0
Alessandro Berardi,28.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,30.0,7.0,0.0,85.7,46.1,4.0,100.0,68.5,5.0,1.0,20.0,0.0,0.0,62.0
Alessio Cragno,3060.0,177.0,53.0,125.0,2473.6,6.0,55.2,5.0,5.0,0.0,0.0,206.0,485.0,1412.9,683.0,129.0,1525.4,1246.2,279.0,1926.5,1416.7,320.0,31.0,326.3,15.0,444.6,81.0
Alex Cordaz,3240.0,203.0,91.0,115.0,1931.5,2.0,76.1,5.0,5.0,0.0,0.0,248.0,606.0,1504.3,1136.0,160.0,1527.8,1282.2,310.0,1372.0,1175.7,318.0,18.0,214.4,30.0,538.1,72.0
Alex McCarthy,2700.0,141.0,57.0,90.0,1984.2,7.0,47.8,6.0,6.0,0.0,0.0,155.0,525.0,904.1,898.0,124.0,1392.8,1113.7,171.0,1915.0,1379.7,239.0,22.0,285.1,20.0,422.3,77.0
Alex Meret,1980.0,79.0,29.0,53.0,1321.8,6.0,22.8,2.0,2.0,0.0,0.0,63.0,117.0,1210.7,511.0,97.0,404.7,595.1,96.0,472.1,561.4,149.0,15.0,217.7,6.0,286.0,78.0
Alexander Nübel,90.0,4.0,2.0,2.0,50.0,0.0,1.9,0.0,0.0,0.0,0.0,1.0,3.0,33.3,27.0,2.0,11.1,26.7,8.0,0.0,28.1,10.0,0.0,0.0,0.0,9.5,75.0
Alexander Schwolow,2340.0,103.0,39.0,70.0,1569.1,8.0,36.9,6.0,6.0,0.0,0.0,174.0,359.0,1399.0,699.0,123.0,822.5,875.5,219.0,1420.3,1159.8,227.0,14.0,143.5,12.0,360.8,79.0
Alexandre Oukidja,3058.0,117.0,39.0,87.0,2284.2,8.0,40.5,10.0,9.0,1.0,0.0,265.0,601.0,1556.0,748.0,189.0,1761.9,1445.7,287.0,2333.1,1745.5,322.0,38.0,401.6,37.0,570.9,76.0
Alfred Gomis,2430.0,97.0,35.0,68.0,1828.3,5.0,35.2,7.0,6.0,0.0,1.0,127.0,323.0,1117.3,659.0,143.0,812.2,858.4,198.0,1295.7,1125.0,236.0,25.0,264.7,20.0,418.8,63.0
