Name,Position,Wins,Hybrid Rating
Bernd Leno,Goalkeeper,28,0.06795234227596547
Matt Macey,Goalkeeper,0,-0.24733174747806672
Rúnar Alex Rúnarsson,Goalkeeper,0,-0.2451134560672029
Héctor Bellerín,Defender,90,0.4114240583107527
Kieran Tierney,Defender,7,-0.17928620982566737
William Saliba,Defender,0,-0.23180370760202038
Sokratis,Defender,21,-0.13073411104817986
Rob Holding,Defender,25,-0.11396022144848646
Shkodran Mustafi,Defender,52,0.1221459108522234
Calum Chambers,Defender,47,0.04412021249069558
David Luiz,Defender,113,0.32177468649133145
Sead Kolasinac,Defender,40,0.012838033953196621
Gabriel Magalhães,Defender,2,-0.22710388490682687
Mesut Özil,Midfielder,100,1.057391333739756
Lucas Torreira,Midfielder,28,-0.1147940808006352
Ainsley Maitland-Niles,Midfielder,26,-0.2173503227675179
Mohamed Elneny,Midfielder,29,-0.12990026254010809
Joseph Willock,Midfielder,12,-0.15329556382275636
Matteo Guendouzi,Midfielder,24,-0.052352816938270645
Emile Smith Rowe,Midfielder,0,-0.2058694287224567
Granit Xhaka,Midfielder,70,0.2274475820930186
Bukayo Saka,Midfielder,11,-0.14572540749889173
Dani Ceballos,Midfielder,14,-0.1101453062565246
Alexandre Lacazette,Forward,46,0.2882666912933117
Pierre-Emerick Aubameyang,Forward,43,0.2997756403591342
Nicolas Pépé,Forward,15,-0.09787203433194946
Reiss Nelson,Forward,10,-0.19239636796338816
Eddie Nketiah,Forward,12,-0.2568700317960494
Gabriel Martinelli,Forward,3,-0.16424336451375157
Willian,Forward,137,0.7983249680238877
Tom Heaton,Goalkeeper,34,0.27042028145984115
Jed Steer,Goalkeeper,0,-0.2483977326826385
Ørjan Nyland,Goalkeeper,1,-0.23786046946884437
Lovre Kalinic,Goalkeeper,0,-0.25620491312152166
Emiliano Martínez,Goalkeeper,9,-0.18547665365565888
Neil Taylor,Defender,48,0.07297791012823826
Ezri Konsa Ngoyo,Defender,8,-0.16353381383507268
Matt Targett,Defender,24,-0.03730093630659503
Björn Engels,Defender,3,-0.2101497751215542
