Resolved_Position,Raw_Wikipedia_Position,Override_Flag,Position,Name,Min,Cmp,PassAtt,Cmp%,PassTotDist,PassPrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,PassFinThird,PPA,CrsPA,PassProg,SCA,PassLiveShot,PassDeadShot,DribShot,ShLSh,Fld,DefShot,GCA,PassLiveGoal,PassDeadGoal,DribGoal,ShGoal,FldGoal,DefGoal,Tkl,TklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTackled,DribContest,DribTackled%,Past,Press,SuccPress,SuccPress%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlockSh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,TouchDef3rd,TouchMid3rd,TouchAtt3rd,AttPen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,ProgCarries,CarriesFinThird,CPA,Mis,Dis,Targ,Rec,Rec%,ProgPassRec,Gls,PK,PKatt,Sh,SoT,CrdY,CrdR,xG,npxG,rating21,IsLowInvolvement,Def Score Z,Att Score Z,Final Position
Unknown,Unknown,False,Low Involvement,Aaron Connolly,791.0,79.0,101.0,1327.5,1147.0,165.0,45.0,56.0,1234.0,26.0,30.0,1076.7,4.0,5.0,400.0,1.0,0.1,5.0,2.0,1.0,0.0,3.0,12.0,7.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,4.0,1.0,1.0,5.0,50.0,4.0,124.0,40.0,475.7,7.0,58.0,59.0,9.0,1.0,0.0,8.0,0.0,7.0,1.0,0.0,201.0,1.0,14.0,84.0,116.0,38.0,191.0,8.0,10.0,600.0,8.0,0.0,124.0,655.0,387.0,17.0,8.0,4.0,29.0,15.0,357.0,143.0,737.7,66.0,2.0,0.0,0.0,23.0,8.0,0.0,0.0,3.6,3.6,70.0,True,-1.0022923574395757,-0.7655467426585449,Midfielder
Unknown,Unknown,False,Defender,Aaron Cresswell,3170.0,1541.0,2060.0,2665.5,30884.0,14764.0,655.0,735.0,3197.4,616.0,736.0,2971.6,252.0,518.0,1734.3,8.0,5.7,60.0,149.0,24.0,17.0,120.0,96.0,48.0,41.0,1.0,4.0,2.0,0.0,14.0,5.0,6.0,0.0,2.0,1.0,0.0,31.0,13.0,15.0,14.0,2.0,14.0,34.0,925.0,20.0,230.0,67.0,1055.1,122.0,90.0,18.0,48.0,14.0,0.0,34.0,36.0,67.0,99.0,0.0,2307.0,182.0,767.0,1053.0,594.0,18.0,1861.0,6.0,15.0,500.0,8.0,2.0,1266.0,5387.0,2617.0,97.0,40.0,3.0,7.0,9.0,1366.0,1318.0,3459.9,30.0,0.0,0.0,0.0,19.0,4.0,3.0,0.0,1.0,1.0,77.0,False,0.982449926407652,1.874482991536495,Forward
Unknown,Unknown,False,Midfielder,Aaron Ramsey,1089.0,626.0,732.0,1858.5,10686.0,2564.0,305.0,340.0,1898.8,245.0,282.0,1885.7,63.0,85.0,1653.7,4.0,3.6,30.0,59.0,22.0,4.0,59.0,58.0,46.0,5.0,2.0,1.0,3.0,1.0,7.0,5.0,0.0,0.0,0.0,1.0,1.0,24.0,16.0,8.0,14.0,2.0,5.0,24.0,316.6,19.0,225.0,73.0,605.0,54.0,108.0,63.0,14.0,2.0,0.0,12.0,6.0,30.0,9.0,1.0,862.0,17.0,122.0,446.0,352.0,71.0,840.0,12.0,19.0,900.0,12.0,1.0,619.0,3261.0,1471.0,79.0,22.0,9.0,24.0,10.0,821.0,702.0,1869.6,113.0,2.0,0.0,0.0,23.0,10.0,2.0,0.0,5.0,5.0,82.0,False,-0.2918398271149868,0.5230221828297216,Midfielder
Unknown,Unknown,False,Defender,Aaron Wan-Bissaka,3060.0,1775.0,2065.0,2910.6,26841.0,9551.0,1008.0,1094.0,3131.3,665.0,760.0,2977.2,71.0,125.0,1807.1,4.0,2.3000000000000003,30.0,88.0,33.0,14.0,125.0,57.0,50.0,1.0,2.0,1.0,0.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,97.0,52.0,60.0,30.0,7.0,21.0,40.0,1109.9,19.0,434.0,140.0,1123.5,195.0,169.0,70.0,113.0,17.0,0.0,96.0,66.0,163.0,108.0,0.0,2511.0,122.0,809.0,1127.0,741.0,39.0,2226.0,40.0,66.0,1776.6,43.0,2.0,1536.0,7996.0,4541.0,211.0,79.0,3.0,17.0,25.0,1634.0,1521.0,3149.9,83.0,2.0,0.0,0.0,8.0,4.0,3.0,0.0,0.7,0.7,83.0,False,2.21340148794399,1.1383620856835193,Forward
Unknown,Unknown,False,Midfielder,Aarón Martín,1802.0,813.0,1031.0,1858.8,14014.0,4680.0,389.0,427.0,2192.9,330.0,408.0,1925.1,76.0,154.0,997.5,3.0,1.5,12.0,40.0,13.0,8.0,51.0,18.0,13.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,14.0,20.0,15.0,2.0,14.0,40.0,574.9,26.0,225.0,59.0,567.3,90.0,110.0,25.0,28.0,4.0,0.0,24.0,20.0,57.0,51.0,0.0,1213.0,58.0,353.0,596.0,322.0,18.0,1010.0,20.0,31.0,1118.3,20.0,0.0,748.0,3100.0,1601.0,89.0,28.0,4.0,10.0,12.0,831.0,732.0,2080.6,48.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.3,0.3,70.0,False,0.3212119530844567,-0.1452040763669114,Defender
Unknown,Unknown,False,Low Involvement,Abdallahi Mahmoud,66.0,13.0,18.0,133.3,194.0,61.0,6.0,8.0,133.3,5.0,6.0,100.0,1.0,2.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,100.0,1.0,14.0,4.0,84.9,5.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,24.0,0.0,6.0,14.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,14.0,2.0,0.0,0.0,0.0,1.0,18.0,11.0,141.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,True,-1.1418560265480038,-1.1250310296916,Midfielder
Unknown,Unknown,False,Midfielder,Abdou Diallo,1490.0,1109.0,1191.0,2058.3,20618.0,7433.0,474.0,491.0,2120.5,498.0,521.0,2100.5,127.0,161.0,1332.6,1.0,0.5,1.0,72.0,5.0,2.0,75.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,13.0,8.0,2.0,8.0,14.0,600.0,6.0,126.0,41.0,799.4,56.0,59.0,11.0,23.0,8.0,0.0,15.0,17.0,40.0,46.0,2.0,1335.0,123.0,539.0,764.0,129.0,7.0,1264.0,20.0,35.0,833.8,23.0,0.0,980.0,4691.0,2825.0,77.0,20.0,0.0,11.0,4.0,1022.0,995.0,2144.8,10.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,0.3,0.3,78.0,False,0.0774897140835275,0.0120256316793551,Midfielder
Unknown,Unknown,False,Midfielder,Abdoul Kader Bamba,917.0,371.0,494.0,2066.7,6170.0,1750.0,202.0,229.0,2357.4,127.0,165.0,2084.2,33.0,66.0,1043.8,1.0,1.8,23.0,25.0,10.0,2.0,34.0,42.0,27.0,7.0,4.0,0.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,19.0,13.0,7.0,8.0,4.0,6.0,15.0,600.0,9.0,154.0,50.0,895.6,41.0,79.0,34.0,13.0,0.0,0.0,13.0,7.0,26.0,3.0,0.0,629.0,5.0,78.0,303.0,291.0,38.0,586.0,36.0,57.0,1323.3,39.0,2.0,481.0,2293.0,1347.0,71.0,13.0,16.0,21.0,19.0,572.0,447.0,2168.1,73.0,3.0,0.0,1.0,14.0,6.0,2.0,0.0,2.7,1.9,72.0,False,-0.0282848561881233,-0.2288216938278804,Midfielder
Unknown,Unknown,False,Low Involvement,Abdoulay Diaby,18.0,5.0,10.0,50.0,69.0,11.0,4.0,5.0,80.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,17.0,0.0,1.0,5.0,14.0,3.0,17.0,0.0,1.0,0.0,0.0,0.0,12.0,106.0,87.0,2.0,3.0,0.0,0.0,1.0,14.0,13.0,92.9,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,63.0,True,-1.3181469770007552,-1.1200282662537644,Midfielder
Unknown,Unknown,False,Midfielder,Abdoulaye Bamba,1347.0,670.0,875.0,1205.7,11398.0,5476.0,342.0,376.0,1450.9,264.0,336.0,1244.9,56.0,129.0,656.8,0.0,1.3,12.0,40.0,14.0,8.0,54.0,21.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,20.0,9.0,2.0,10.0,20.0,633.3,10.0,171.0,60.0,539.7,96.0,50.0,25.0,24.0,1.0,0.0,23.0,18.0,49.0,42.0,1.0,999.0,38.0,310.0,513.0,218.0,8.0,811.0,5.0,12.0,333.3,7.0,1.0,576.0,1988.0,1032.0,34.0,17.0,2.0,8.0,6.0,625.0,574.0,1460.6,25.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,73.0,False,0.2409995706284545,-0.2080959595854179,Defender
